time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,RSI_14,EMA_20,VWAP_14,OBV,ATR_14
1692835200,26462.25,26611.96,25811.96,26008.8,153206,482,0,26858.483,29.01952914,27644.32263,,1.84467E+19,773.4592363
1692921600,25966.16,26288.15,25714.1,26041.27,146960,395,0,26546.082,29.50419481,27491.65095,,1.84467E+19,759.2157194
1693008000,26024.39,26105.36,25969.06,26017.32,83283,735,0,26254.884,29.34503044,27351.23848,,1.84467E+19,714.7217395
1693094400,25969.51,26168.62,25942.03,26079.63,99908,807,0,26105.061,30.39705676,27230.13291,,1.84467E+19,679.8551866
1693180800,26029.48,26237.89,25836.15,25973.34,115964,809,0,26092.7,29.58774636,27110.43835,,1.84467E+19,659.9898162
1693267200,25958.23,28141.58,25898.08,27593.71,132965,0,0,26248.037,51.00424633,27156.46422,,1.84467E+19,773.0976864
1693353600,27503.15,27778.25,26960.23,27253.44,162357,171,0,26351.289,47.72170393,27165.70001,,1.84467E+19,776.3064231
1693440000,27201.51,27556.43,25850.47,25963.58,142679,0,0,26336.391,37.79252175,27051.21239,,1.84467E+19,842.71025
1693526400,26017.97,26130.37,25309.92,25740.15,149766,259,0,26325.22,36.38047368,26926.3493,,1.84467E+19,841.1202322
1693612800,25723.97,25981.45,25630.01,25842.15,114369,648,0,26251.339,37.52802526,26823.09223,,1.84467E+19,806.1430727
1693699200,25793.51,26125.67,25793.51,26045.85,128442,749,0,26255.044,39.86101803,26749.06916,,1.84467E+19,772.287139
1693785600,25966.17,26090.23,25693.5,25824.37,107797,596,0,26233.354,38.19101401,26661.00257,,1.84467E+19,745.4616291
1693872000,25726.65,25880.93,25536.8,25696.26,139324,139,0,26201.248,37.21966611,26569.12233,,1.84467E+19,716.7950841
1693958400,25601.6,26006.66,25329.87,25656.73,134348,598,0,26158.958,36.90773444,26482.22782,,1.84467E+19,713.9375781
1694044800,25608.19,26008.66,25587.07,26007.31,104195,540,0,26162.355,41.5836476,26436.99755,,1.84467E+19,693.0556082
1694131200,25999.64,26437.73,25589.87,25889.12,130440,437,0,25991.896,40.49406547,26384.81874,,1.84467E+19,704.1130648
1694217600,25893.93,25934.51,25770.09,25859.01,80151,821,0,25852.453,40.20504232,26334.74171,,1.84467E+19,665.5635602
1694304000,25813.51,25910.1,25512.14,25813.34,105219,551,0,25837.429,39.74170986,26285.08441,,1.84467E+19,646.4490202
1694390400,25708.15,26002.28,24868.93,25065.5,161464,113,0,25769.964,33.02935816,26168.93351,,1.84467E+19,681.2276616
1694476800,24999.99,26552.15,24999.99,26076.51,170577,0,0,25793.4,46.24720341,26160.13127,,1.84467E+19,743.4371143
1694563200,25975.65,26404.41,25756.55,26224.15,151162,441,0,25811.23,47.86541531,26166.22829,,1.84467E+19,736.6101776
1694649600,26162.58,26845.45,26121.22,26574.4,118631,0,0,25886.233,51.58880839,26205.10179,,1.84467E+19,735.7258792
1694736000,26578.65,26686.47,26217.24,26408.22,142127,402,0,25957.429,49.77250755,26224.44638,,1.84467E+19,716.6904592
1694822400,26446.76,26882.19,26388.32,26533.16,133767,459,0,26045.072,51.16461991,26253.84768,,1.84467E+19,700.7747122
1694908800,26530.16,26618.98,26420.21,26431.84,107671,764,0,26087.525,49.95543179,26270.79933,,1.84467E+19,664.9172327
1694995200,26359.15,27421.52,26359.15,26768.34,168877,0,0,26175.447,53.85588451,26318.18415,,1.84467E+19,693.3067161
1695081600,26678.32,27490.63,26669.96,27182.62,154665,419,0,26307.808,58.17763998,26400.51138,,1.84467E+19,702.4040935
1695168000,27074.15,27386.9,26789.03,27071.36,176367,406,0,26433.61,56.643298,26464.40172,,1.84467E+19,694.9373725
1695254400,27015.72,27242.51,26348.15,26579.32,191986,749,0,26584.992,50.32246893,26475.34632,,1.84467E+19,709.1818459
1695340800,26540.79,26739.65,26458.9,26531.22,131601,560,0,26630.463,49.73815727,26480.66762,,1.84467E+19,678.5795712
1695427200,26559.86,26635.6,26509.72,26591,77588,605,0,26667.148,50.50732152,26491.17547,,1.84467E+19,639.1010304
1695513600,26541.26,26734.91,26336.33,26497.53,57076,531,0,26659.461,49.23853994,26491.78066,,1.84467E+19,621.9209568
1695600000,26436.15,26519.38,25977.84,26300.52,146307,0,0,26648.691,46.582376,26473.56536,,1.84467E+19,616.1794599
1695686400,26244.46,26394.36,26074.91,26143.84,108766,821,0,26609.759,44.52522665,26442.16295,,1.84467E+19,594.9844985
1695772800,26158.6,26829.75,26072.21,26234.91,129556,277,0,26590.066,46.01748413,26422.42457,,1.84467E+19,606.5956057
1695859200,26166.01,27306.38,26163.01,27094.94,142771,682,0,26622.726,57.61328892,26486.47366,,1.84467E+19,644.9366339
1695945600,26999.96,27239.45,26610.69,26887.06,149426,0,0,26593.17,54.56240908,26524.62474,,1.84467E+19,643.78116
1696032000,26877.01,27094.02,26822.26,27063.77,113758,256,0,26592.411,56.66324404,26575.97191,,1.84467E+19,617.20822
